name,year,group,note
"Kraus, Sascha",2020,"Durham University, Durham University Business School | Durham | United Kingdom","note"
"Breier, Matthias",2020,"Lappeenranta University of Technology, School of Business | Lappeenranta | Finnland","note"
"Dasí-Rodríguez, Sonia",2020,"Universitat de València | València | Spain","note"
"Lame, Guillaume",2019,"University of Cambridge, The Healthcare Improvement Studies Institute | Cambridge | United Kingdom","note"
"Okoli, Chitu",2010,"Concordia University|Montréal|Canada","note"
"Schabram, Kira",2010,"Concordia University|Montréal|Canada","note"
"Oosterwyk, Grant",2019,"Department of Information Systems, University of Cape Town|Cape Town|South Africa","note"
"Brown, Irwin",2019,"Department of Information Systems, University of Cape Town|Cape Town|South Africa","note"
"Geeling, Sharon",2019,"Department of Information Systems, University of Cape Town|Cape Town|South Africa","note"
